"GDP per capita, current prices
 (U.S. dollars per capita)";1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Nepal;132,756;151,746;149,883;160,254;165,649;168,169;178,96;181,61;209,438;206,874;207,703;221,426;195,816;204,632;208,153;220,397;221,918;235,992;229,848;231,853;241,384;243,808;243,256;253,616;287,4;319,028;348,632;393,848;473,841;480,72;592,152;695,694;681,792;688,584;705,94;747,161;730,686;848,089;970,695;1008,766;1075,205;1147,478;1226,459;1312,513
Netherlands;13668,934;11378,797;10973,159;10643,041;9867,245;9964,005;13810,051;16807,924;17869,584;17514,505;21457,915;21931,771;24061,887;23237,631;24824,406;29284,582;29016,44;26733,011;27924,505;28299,668;26220,068;26891,919;29294,213;35734,217;40404,223;42046,721;44901,089;51804,204;57916,253;52648,416;51046,246;54209,22;50100,615;52201,723;52914,136;45205,77;46027,694;48555,353;52931,158;54128,663;56712,61;58893,389;61261,067;63461,91
New Zealand;7203,517;7458,186;7326,447;7022,034;6919,016;6901,934;8323,398;11122,524;13561,987;13015,7;13363,054;12356,703;11691,421;12451,895;14492,628;16783,363;18356,877;18115,498;14828,116;15280,851;13978,23;13560,579;15552,419;20304,755;24689,819;27206,412;26077,214;31784,19;31663,804;28099,897;33221,925;37984,858;39552,453;41773,512;43870,735;37822,044;39049,156;41572,269;41615,923;42008,618;44207,925;46331,723;48519,806;50520,932
Nicaragua;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;854,126;897,716;916,519;917,106;951,837;981,02;1016,421;1045,954;1010,053;1015,403;1091,002;1175,114;1240,992;1344,301;1518,805;1464,251;1526,494;1682,955;1792,041;1847,201;1975,465;2073,494;2143,812;2220,676;2126,565;2141,375;2214,416;2312,671;2423,457;2543,884
Niger;461,461;386,192;346,882;299,592;234,733;223,986;286,747;325,893;322,586;298,892;329,645;299,573;291,834;267,092;181,67;197,222;204,029;181,69;200,631;188,221;159,23;164,088;180,832;223,463;237,215;263,785;275,509;312,751;382,36;368,278;378,205;410,743;431,37;462,028;481,612;409,215;413,954;438,425;489,051;503,309;532,811;560,43;597,969;629,603
Nigeria;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;686,475;645,45;546,094;577,535;792,81;1273,271;1618,287;1713,375;1861,065;496,495;570,17;598,294;748,313;797,64;982,976;1245,073;1591,326;1822,793;2234,359;1958,577;2365,013;2582,57;2797,857;3042,045;3268,391;2763,196;2207,861;1994,645;2050,152;2243,974;2465,13;2721,08;3003,297;3317,06
Norway;15746,212;15484,681;15196,29;14906,24;14968,787;15728,224;18853,07;22445,038;24143,155;24245,481;28187,256;28514,498;30432,927;27880,665;29236,408;34789,423;37224,69;36560,864;34717,452;36278,683;38063,119;38501,575;42974,684;50023,114;57478,708;66652,703;73936,764;84946,459;96626,3;79836,109;87432,376;100307,354;101273,375;102722,033;96837,638;74280,673;70651,871;75389,46;82372,378;82772,577;84428,094;85728,744;87416,117;88956,071
Oman;4674,114;5251,746;5510,962;5363,892;5517,394;6129,204;4548,852;4488,916;4362,946;4605,009;6340,52;5937,75;6292,658;6102,666;6116,027;6355,283;6864,964;6965,197;6037,746;6605,919;8120,715;7961,211;8108,723;8565,258;9635,825;11873,176;13938,207;15436,806;21866,269;16784,913;19774,797;22726,637;23282,204;21920,148;21814,151;18243,808;16447,318;17128,372;19170,363;19689,986;19508,43;19468,205;19280,949;19247,802
Pakistan;384,902;442,247;469,6;426,342;450,309;438,235;436,969;445,068;500,308;508,691;495,989;551,237;565,905;583,709;573,819;654,027;666,464;641,566;624,156;617,576;583,32;555,226;544,369;611,429;705,723;776,77;883,243;963,279;1037,612;998,186;1031,652;1218,342;1254,17;1266,742;1312,427;1424,954;1439,63;1545,938;1527,157;no data;no data;no data;no data;no data
Palau;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;7568,084;8093,581;8365,934;7828,722;8345,8;9277,317;9535,236;9979,011;10365,176;9802,416;9998,003;10765,868;12301,378;12848,868;13954,976;16594,923;16757,568;15980,19;16267,517;16847,624;17439,792;17999,938;18541,718;19099,806
Panama;2038,172;2252,051;2429,949;2437,808;2487,416;2573,287;2616,159;2571,627;2176,564;2137,259;2276,276;2450,196;2726,974;2916,29;3046,035;3050,717;3524,097;3731,099;3963,406;4070,418;4046,456;4029,975;4106,466;4244,176;4565,096;4886,41;5315,835;6286,497;7223,982;7697,767;8233,5;9623,669;10996,031;12132,105;13090,755;13662,944;14322,581;15089,346;15877,484;17117,377;18301,696;19331,778;20403,943;21535,155
Papua New Guinea;1404,853;1342,349;1244,662;1215,43;1098,366;992,937;1057,889;1180;1592,381;1480,334;1287,934;1469,255;1573,472;1743,474;1866,89;1609,132;1668,285;1553,999;1158,158;1030,838;1025,035;877,089;850,612;1012,581;1111,442;1264,811;1403,678;1576,142;1883,501;1833,075;2132,181;2552,03;2865,807;2800,157;2973,289;2605,935;2341,536;2401,559;2464,73;2504,566;2533,236;2601,186;2672,679;2746,989
Paraguay;1299,661;1608,463;1636,527;1762,992;1390,886;1154,145;1335,761;1084,695;1392,417;977,835;1185,277;1585,242;1592,055;1580,207;1681,396;1897,134;2008,188;2003,578;1824,648;1706,395;1675,793;1577,681;1312,083;1377,521;1693,886;1857,773;2284,975;2988,681;4047,755;3622,628;4347,206;5298,454;5151,373;5882,781;6050,042;5353,075;5259,938;5600,094;5933,842;6229,404;6559,129;6913,341;7257,428;7663,173
Peru;1164,609;1372,81;1332,205;1011,535;1018,593;861,437;1263,491;2040,267;1579,248;1908,097;1301,22;1530,736;1562,544;1487,84;1863,324;2179,164;2221,524;2297,785;2168,205;1929,7;1962,982;1957,528;2036,365;2178,487;2429,335;2695,758;3121,921;3587,798;4227,552;4165,791;5051,268;5733,245;6402,069;6632,241;6562,575;6150,458;6178,179;6731,851;7118,427;7361,536;7706,914;8054,348;8418,775;8802,26
Philippines;752,815;806,599;819,872;715,13;659,363;627,535;597,839;648,255;723,483;794,104;805,632;806,935;919,701;922,189;1062,278;1200,429;1276,661;1240,769;958,16;1077,999;1051,973;970,377;1013,424;1024,77;1093,48;1208,934;1405,206;1683,688;1940,995;1851,073;2155,409;2379,941;2591,627;2768,472;2849,267;2882,768;2953,208;2988,897;3099,26;3245,853;3461,77;3721,013;4005,837;4324,222
Poland;1591,91;1494,896;1799,918;2052,913;2038,025;1896,081;1961,676;1687,804;1815,815;1768,606;1625,844;2101,345;2311,094;2347,117;2687,41;3605,161;4058,183;4067,962;4450,329;4339,597;4476,245;4978,051;5195,281;5691,335;6684,461;8019,766;9035,259;11264,718;14004,757;11541,353;12601,915;13886,833;13158,073;13777,295;14337,324;12559,904;12409,991;13821,233;14468,827;15313,668;16557,816;17862,493;19291,353;20827,618
Portugal;3334,965;3304,986;3101,535;2841,631;2599,399;2716,478;3772,506;4718,593;5525,321;5967,66;7941,028;9010,203;10841,258;9530,897;9970,959;11788,467;12187,556;11597,701;12220,178;12490,929;11533,827;11737,174;12922,15;15799,892;18064,472;18815,438;19837,971;22811,573;24933,185;23122,556;22580,678;23217,356;20588,873;21625,495;22112,525;19262,274;19879,832;21158,999;23175,766;23731,384;24917,301;25940,949;27078,644;28115,904
Puerto Rico;4507,15;4940,784;5146,929;5257,186;5777,438;6058,641;6495,499;6987,398;7579,339;8094,29;8675,576;9093,48;9687,443;10255,532;10942,949;11667,589;12305,024;12968,394;14430,159;15293,182;16192,127;18243,709;18972,77;19820,208;20988,989;21959,317;22935,951;23664,874;24898,335;25768,726;26435,742;27278,853;27944,742;28513,15;28981,343;29755,35;30475,357;31581,394;32004,122;32678,427;33318,347;33916,768;34506,064;35122,398
Qatar;31999,31;32677,158;26613,591;21147,403;20551,617;18201,415;13677,704;13828,961;12749,102;12967,628;15446,332;14189,043;15616,953;14546,04;14894,69;16238,346;17677,59;21337,1;18633,92;21660,445;29914,266;28666,61;30748,535;35644,406;44051,659;54228,833;62920,646;69166,962;74189,292;59683,144;72953,444;96827,857;101933,117;99180,39;93054,141;66346,911;57965,377;61024,774;67818,328;72676,794;74934,811;76996,733;80482,137;84873,865
Romania;2065,221;2466,043;2456,844;2138,766;1721,254;2115,458;2278,867;2534,073;2609,661;2329,567;1652,369;1249,01;853,108;1154,672;1325,482;1573,126;1575,497;1581,753;1897,422;1611,132;1669,978;1817,045;2118,572;2768,119;3541,52;4662,666;5811,44;8326,223;10351,511;8444,613;8211,914;9127,48;8542,229;9537,82;10004,876;8950,463;9567,021;10785,993;12189,452;12668,605;13738,447;14761,536;15894,055;17031,381
Russian Federation;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;6723,5;5823,203;619,869;1330,054;2004,407;2271,31;2842,858;2944,467;1975,972;1432,661;1905,949;2259,023;2556,64;3197,688;4407,986;5713,542;7421,282;9755,324;12471,879;9180,609;11445,456;14320,817;15410,96;15997,027;14354,821;9510,188;8923,888;10955,792;10950,492;11461,119;11710,526;11974,276;12254,767;12697,955
Rwanda;270,525;296,19;304,582;313,504;293,235;336,894;368,93;395,849;409,149;413,152;385,963;276,23;292,942;301,087;206,465;226,63;248,486;319,386;312,589;262,564;229,235;209,117;200,121;215,302;240,947;293,248;349,992;415,706;511,872;554,564;577,411;636,44;696,73;709,834;727,969;735,616;733,566;771,674;800,21;847,116;908,334;967,217;1034,892;1107,411
Saint Kitts and Nevis;1338,747;1609,725;1847,251;1829,835;2144,801;2406,13;2851,256;3289,063;3926,955;4392,77;4969,878;4912,915;5386,942;5806,085;6407,518;6819,77;7195,174;8010,438;8260,891;8670,829;9258,487;10015,591;10347,915;9837,756;10476,364;11173,761;12928,633;13538,929;14681,367;14212,339;13704,254;14483,444;13965,558;14823,749;17061,303;17247,171;17495,949;17397,223;17961,371;18789,391;19655,965;20463,757;21243,231;22021,861
Saint Lucia;1313,355;1475,177;1367,898;1451,035;1822,647;2030,889;2385,636;2603,215;2931,017;3267,096;3847,434;4020,866;4346,08;4391,265;4490,119;4705,337;4790,545;4814,592;5156,021;5357,835;5343,325;5054,526;5054,365;5497,391;5871,52;6180,282;6816,6;7588,864;7527,786;7667,116;8336,661;8590,065;8496,014;8608,133;8804,255;9359,84;9419,897;9606,945;10042,082;10546,338;10902,72;11184,363;11449,23;11724,161
Saint Vincent and the Grenadines;843,533;1037,522;1146,977;1222,857;1339,866;1433,747;1570,863;1701,149;1929,347;2047,706;2274,42;2392,789;2610,526;2689,605;2719,644;2969,99;3116,21;3270,011;3513,884;3675,552;3728,551;4047,314;4327,554;4494,099;4847,173;5091,592;5623,323;5973,546;6366,698;6172,788;6224,215;6171,48;6318,54;6569,923;6622,343;6867,925;7000,324;7124,386;7505,605;7846,5;8189,464;8550,01;8959,776;9388,951
Samoa;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1613,013;1469,932;1511,677;1516,881;1595,803;1876,744;2280,71;2633,305;2775,164;3038,858;3634,995;3170,109;3430,856;3939,695;4233,328;4219,066;4178,979;4149,36;4015,214;4258,343;4402,797;4575,152;4841,478;4986,286;5145,87;5315,378
San Marino;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;81785,984;69774,443;62684,75;59841,635;52103,613;53913,873;53094,202;44810,786;45670,897;47595,071;50903,541;51028,505;52475,574;53579,338;54879,371;55980,979
Saudi Arabia;17655,143;18832,057;14912,742;11972,192;10558,766;8732,74;6955,053;6524,159;6398,839;6583,29;7734,975;8280,176;8077,765;7686,005;7626,36;7893,422;8527,666;8706,354;7525,303;8092,7;9256,541;8778,391;8822,507;9800,529;11467,097;14068,219;15603,985;16666,626;20157,298;16094,678;19163,337;23654,865;25208,162;24892,99;24580,472;21094,595;20317,679;21096,44;23186,743;23491,037;23601,698;23703,883;23935,652;24264,141
Senegal;781,318;689,676;656,587;569,224;539,145;573,039;786,525;917,907;880,712;842,541;952,417;910,029;946,739;869,094;576,64;706,207;714,635;643,171;679,9;676,012;603,472;609,716;651,454;815,154;928,964;981,308;1026,096;1204,905;1395,408;1297,944;1257,744;1345,409;1301,512;1343,179;1361,349;1186,925;1231,651;1331,276;1485,402;1548,546;1659,474;1769,1;1892,637;2006,394
Serbia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2925,927;2300,699;1507,679;1238,888;1640,945;2156,887;2836,54;3315,331;3504,295;4145,034;5486,489;6688,951;5820,469;5353,561;6424,028;5656,261;6351,684;6199,12;5237,254;5426,201;5901,226;6814,809;7198,882;7839,144;8489,571;9210,97;9965,768
Seychelles;2326,824;2392,247;2296,719;2280,452;2338,076;2588,553;3165,945;3638,988;4128,118;4407,201;5302,844;5314,655;6128,346;6559,088;6555,429;6748,825;6583,091;7280,929;7715,784;7747,491;7578,829;7663,083;8431,923;8524,935;10176,659;11093,314;12014,418;12155,702;11123,004;9707,265;10805,099;11647,017;11999,897;14762,223;14701,368;14786,118;15219,117;15859,382;16376,802;17080,497;17815,313;18659,197;19443,959;20182,306
Sierra Leone;490,441;513,084;565,071;479,982;552,183;460,718;337,502;287,721;461,77;414,406;224,573;268,084;234,027;266,103;317,336;304,147;327,823;294,274;230,249;224,923;210,745;233,996;258,174;272,053;271,396;299,269;331,015;368,86;418,785;399,926;410,595;457,917;578,302;731,057;721,555;599,539;522,173;487,61;495,857;489,309;487,775;494,753;515,819;515,643
Singapore;5003,793;5670,741;5998,019;6714,501;7155,389;6781,924;6864,317;7786,645;9316,362;10711,03;12766,058;14504,601;16144,339;18302,534;21577,837;24937,271;26262,256;26386,354;21824,014;21796,254;23793,113;21576,807;22016,976;23573,854;27404,812;29869,899;33579,155;39223,538;39722,148;38577,168;46569,395;53238,586;54716,737;56389,182;56959,326;54939,859;55241,284;57713,335;61230,153;62983,514;65503,503;68115,351;70834,278;73618,755
Slovak Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2561,19;2938,631;3696,566;3990,001;4069,762;4232,745;3864,179;3832,551;3976,08;4620,684;6330,051;8027,251;9129,071;10683,482;14349,97;18048,555;16567,154;16634,711;18223,869;17294,596;18205,908;18668,684;16148,292;16550,225;17655,053;19642,098;20598,122;22046,827;23414,059;24864,043;26242,398
Slovenia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;9603,574;8326,915;8436,809;10708,565;10797,085;10463,46;11157,744;11498,633;10286,104;10501,874;11841,814;14905,102;17282,619;18222,579;19777,132;23959,166;27784,009;24785,048;23499,587;25040,519;22563,157;23378,09;24251,424;20890,303;21668,088;23654,409;26586,048;27506,865;29206,984;30714,221;32325,845;33793,887
Solomon Islands;767,971;786,877;757,961;689,407;669,398;592,013;512,757;523,77;579,556;552,165;667,386;687,074;789,67;858,033;1057,3;1195,517;1279,824;1303,415;1083,924;1116,043;923,454;897,55;744,048;704,085;793,967;915,158;980,042;1048,642;1207,902;1160,785;1293,864;1733,71;1935,74;2010,288;2042,088;1971,553;2056,559;2114,677;2270,811;2357,414;2453,207;2565,409;2679,174;2817,301
South Africa;2853,526;2865,01;2561,74;2783,1;2400,34;1792,065;2003,023;2570,271;2704,735;2753,513;3140,342;3289,043;3481,424;3390,848;3446,835;3752,377;3499,202;3555,708;3159,393;3087,271;3039,041;2667,886;2520,592;3772,063;4868,694;5412,938;5638,677;6123,957;5802,368;5926,401;7380,615;8083,126;7574,427;6907,599;6508,779;5802,709;5316,042;6179,87;6560,041;6609,097;6801,087;6971,832;7165,562;7346,201
South Sudan, Republic of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1644,739;1041,463;1337,232;1309,952;1051,185;249,662;243,113;306,704;224,745;194,164;161,542;341,083;404,878
Spain;6112,881;5368,609;5158,755;4490,713;4460,603;4683,157;6461,294;8167,057;9574,946;10540,022;13649,281;14661,18;15973,582;13376,558;13386,457;15437,363;16055,974;14746,417;15418,912;15774,437;14721,704;15365,803;17075,474;21528,292;24981,314;26547,913;28530,039;32748,087;35725,345;32412,772;30803,472;31868,855;28583,739;29237,722;29686,682;25821,783;26676,553;28358,808;31059,508;31906,202;33611,116;35093,984;36757,387;38284,102
Sri Lanka;344,064;353,229;376,604;401,85;466,031;456,508;484,428;499,475;516,863;513,625;582,032;630,274;672,009;709,093;805,992;846,906;917,734;1010,51;1027,582;1017,776;1048,948;993,476;1030,393;1124,232;1216,603;1424,392;1636,504;1858,804;2301,797;2349,708;2742,932;3127,471;3349,94;3609,346;3818,396;3835,363;3845,988;4073,309;4265,287;4469,774;4734,138;5013,575;5310,857;5637,09
Sudan;486,908;339,389;239,807;318,513;375,019;253,184;328,588;516,781;404,705;696,391;87,197;95,292;113,476;186,506;205,922;239,507;292,909;350,723;366,582;352,442;422,316;492,676;554,652;635,575;772,939;996,677;1249,767;1599,596;1700,513;1401,244;1637,419;2034,461;1396,292;1462,582;1628,497;1715,071;1408,8;1123,488;791,933;795,273;792,576;774,526;753,178;716,156
Suriname;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1320,196;1434,456;1313,625;1020,848;1133,128;2120,745;2605,667;2750,695;3264,332;2649,744;2712,6;2301,928;2872,138;3335,527;3789,587;4483,534;5208,555;5758,066;6832,947;7394,097;8224,066;8190,699;9194,151;9351,962;9379,003;8507,968;5703,369;5869,515;6506,041;6881,938;7200,54;7722,47;7997,113;8355,954
Sweden;16611,449;15153,907;13370,536;12287,58;12780,659;13345,566;17574,09;21282,666;23951,918;24985,746;29792,963;31075,224;32142,437;24034,57;25672,068;29911,82;32614,252;29932,755;30180,212;30601,857;29287,801;26970,431;29566,176;36936,664;42407,825;43048,112;46145,739;53185,652;55592,669;46047,306;51925,595;59454,397;56978,613;60069,346;58930,154;50565,098;51245,363;52925,128;53867,171;54135,298;55819,492;57477,376;59726,255;61876,544
Switzerland;18869,568;17190,991;17508,115;17360,011;16532,256;16694,338;23816,313;29646,522;31881,397;30545,678;38660,028;38655,814;39686,859;38242,326;41996,762;48834,465;46764,98;40469,881;41547,87;40641,742;37994,357;38715,911;41555,218;48285,032;53446,083;55115,296;57801,441;63960,525;72941,746;70321,958;74884,059;88903,25;83959,108;85676,251;87162,877;82510,414;80491,04;80637,381;83583,002;85156,842;88233,884;90802,351;93971,45;97020,355
Syria;1421,836;1763,344;1784,577;1849,427;1839,915;1965,139;2284,039;2823,157;1389,823;800,859;967,145;972,175;983,575;995,061;1060,707;1133,162;1186,162;1080,812;1028,169;1043,174;1202,891;1236,897;1305,087;1208,885;1361,499;1510,392;1726,028;2016,052;2557,211;2557,267;2806,685;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data
São Tomé and Príncipe;773,85;931,011;876,128;800,45;812,985;837,601;1143,388;1120,792;922,926;891,971;1050,332;920,765;790,824;1033,018;1058,931;820,617;261,65;351,128;398,575;408,704;415,999;505,213;552,891;647,954;692,685;809,407;839,546;885,101;1117,491;1084,167;1107,873;1273,159;1342,707;1569,619;1763,383;1555,969;1705,692;1846,724;2068,791;2228,504;2433,646;2747,019;2907,812;3054,55
Taiwan Province of China;2367,6;2692,406;2675,823;2882,402;3203,468;3295,112;4010,111;5325,216;6337,499;7577,046;8178,152;9092,114;10725,702;11200,814;12108,752;13076,007;13597,248;13968,097;12787,258;13768,274;14876,879;13408,383;13715,525;14094,37;15360,724;16503,313;16984,54;17780,925;18102,946;16959,775;19261,667;20911,643;21269,614;21887,992;22638,917;22373,564;22540,889;24292,091;25534,325;26517,602;27942,329;29292,953;30874,535;32575,883
Tajikistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;52,622;121,645;147,923;100,448;183,374;192,58;222,282;177,712;159,417;167,035;187,958;236,394;308,844;337,129;401,586;519,025;702,445;666,024;738,287;834,52;949,648;1040,15;1105,197;919,073;795,981;800,802;807,05;815,412;857,097;902,025;940,242;980,103
Tanzania;398,213;462,384;515,824;513,729;454,85;399,694;492,451;236,583;221,861;181,658;138,792;157,932;140,479;125,671;129,715;147,749;179,54;211,07;303,01;363,109;378,494;378,881;383,7;399,475;425,476;450,395;481,665;541,793;671,868;683,856;725,765;765,333;869,991;969,148;1032,343;957,107;978,961;1034,225;1090,099;1158,072;1233,512;1310,933;1393,094;1480,717
Thailand;718,751;751,856;773,787;835,332;853,682;775,776;840,475;969,076;1159,092;1349,927;1571,257;1777,473;1999,967;2218,556;2494,739;2846,444;3046,665;2475,095;1855,12;2048,054;2028,077;1912,28;2115,383;2377,545;2676,296;2905,795;3378,831;3978,301;4379,527;4207,583;5065,376;5482,397;5850,273;6154,499;5932,999;5830,636;5970,316;6590,638;7084,471;7570,35;8011,426;8452,414;8907,35;9400,404
Timor-Leste;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;489,866;569,609;554,016;580,466;1132,771;1870,683;2687,664;2851,49;4246,847;3060,187;3782,707;5272,736;6052,99;5002,922;3494,848;2620,3;2079,628;2236,974;2485,877;2627,572;2699,944;2671,605;2692,786;2373,887
Togo;621,505;501,047;363,666;334,431;296,437;300,4;407,291;463,246;500,235;477,391;560,68;541,946;557,234;416,361;315,859;406,548;431,283;425,029;388,934;377,803;311,499;300,953;337,732;409,209;427,308;422,158;425,298;444,013;539,752;533,049;527,823;579,544;565,01;613,632;633,067;563,759;586,294;611,133;668,422;691,416;741,055;789,025;842,412;895,665
Tonga;802,903;886,55;878,894;853,099;890,429;836,907;999,884;1081,019;1264,565;1523,205;1578,512;1816,713;1868,532;1944,448;2103,954;2199,634;2410,489;2254,233;2012,456;2035,946;1965,571;1775,167;1908,075;2108,806;2454,269;2788,968;2889,027;3142,198;3337,897;3295,282;3788,677;4412,213;4442,354;4303,082;4277,608;4021,72;4249,137;4520,886;4650,282;4874,153;5163,345;5478,75;5735,451;5937,889
Trinidad and Tobago;5844,663;6451,064;7389,246;6935,75;6827,598;6407,753;4118,845;4083,147;3796,412;3623,428;4219,122;4390,015;4471,243;3741,17;4024,875;4319,496;4655,849;4629,726;4869,365;5475,183;6541,694;7042,209;7158,999;8927,638;10438,77;12467,75;14273,555;16807,873;21464,21;14801,21;16957,995;19320,961;19001,222;19925,122;20054,981;17834,476;16598,797;16637,65;16930,881;17491,336;18210,195;19182,136;20101,343;21226,967
Tunisia;1482,823;1390,485;1309,899;1322,84;1286,711;1271,883;1312,323;1382,353;1411,547;1386,088;1636,643;1687,19;1973,446;1814,879;1903,845;2156,454;2299,375;2210,819;2295,197;2388,994;2213,941;2254,92;2346,004;2762,059;3112,918;3194,48;3371,538;3778,36;4308,49;4131,023;4140,485;4256,837;4137,57;4198,848;4274,466;3827,641;3666,3;3464,717;3573,365;3587,933;3712,594;3882,046;4063,894;4271,276
Turkey;2168,666;2148,836;1901,376;1712,832;1627,694;1787,257;1928,024;2192,708;2346,711;2730,183;3747,082;3686,18;3817,294;4259,482;3024,163;3877,104;4095,582;4220,595;4387,308;4019,001;4218,859;3053,282;3589,386;4642,902;5952,828;7277,942;7898,993;9562,939;10691,762;8881,762;10475,567;11140,952;11552,693;12395,369;12022,18;10914,886;10817,389;10537,186;8715,513;7615,014;8868,359;10016,808;10645,49;11026,398
Turkmenistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;239,149;1335,633;1102,518;1394,427;554,283;614,767;647,355;861,861;1109,216;1514,431;1880,287;2443,634;3004,972;3596,234;4429,641;5312,927;4350,129;4036,459;4439,203;5649,978;6675,276;7304,421;7962,366;6432,669;6412,135;6642,523;7411,877;8073,28;8724,372;9484,971;10325,151;11258,823
Tuvalu;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1661,535;1946,376;2255,915;2229,48;2324,759;2713,056;3053,405;2683,967;3059,159;3687,994;3541,906;3499,048;3459,462;3280,974;3362,05;3688,651;4096,248;4421,214;4783,672;5153,825;5534,254;5892,454
Uganda;512,2;804,731;541,848;601,022;447,813;396,289;381,127;592,632;591,643;462,395;363,928;183,801;166,503;190,45;266,865;309,747;309,377;326,722;310,18;285,563;273,964;268,065;278,964;278,825;331,993;372,282;406,739;488,914;604,626;628,759;662,223;669,297;752,877;770,183;772,586;662,164;670,37;706,502;717,496;746,593;801,676;830,881;899,969;944,499
Ukraine;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;427,863;677,261;740,97;752,339;914,348;1037,893;874,265;664,99;664,376;814,851;919,141;1096,291;1427,279;1909,798;2407,9;3219,884;4095,441;2654,986;2982,814;3589,632;3872,534;3968,797;3095,05;2135,182;2200,851;2656,01;2964,193;3133,196;3361,357;3618,556;3901,506;4202,48
United Arab Emirates;40014,582;40910,917;35767,654;31690,067;29017,094;27035,998;20533,019;21644,071;18435,195;20478,526;26621,511;25847,406;25960,965;25654,369;25762,53;26394,423;29058,859;29523,485;25897,653;27321,043;34688,979;32621,292;32790,711;35017,312;39304,507;43988,667;44313,586;41472,286;39074,838;30920,447;35064,255;41194,733;42723,581;43197,43;43340,018;37380,571;36226,239;37732,656;41476,301;42384,405;42888,88;43232,624;43581,224;44011,947
United Kingdom;10734,566;10429,255;9925,51;9456,7;8943,273;9491,989;11551,068;14294,994;17364,253;17617,847;20808,225;21671,879;22305,36;19925,662;21344,249;23026,709;24256,456;26647,953;28077,336;28435,056;28043,874;27510,331;29912,986;34302,415;40111,752;41842,698;44403,814;50315,557;47469,38;38601,319;39122,192;41649,659;42023,101;42981,253;47003,879;44494,861;40657,859;39800,274;42260,924;42035,942;43358,394;44639,336;46275,189;47887,715
United States;12552,943;13948,701;14404,994;15513,679;17086,441;18199,32;19034,766;20000,968;21375,999;22814,077;23847,977;24302,776;25392,931;26364,192;27674,021;28671,48;29946,973;31440,087;32833,666;34494,539;36317,741;37101,103;37971,28;39411,546;41629,858;44025,56;46213,508;47869,24;48283,413;47007,674;48400,641;49815,52;51537,005;53031,952;54952,396;56718,321;57814,534;59792,013;62517,53;65061,593;67082,203;69074,333;70956,327;72861,262
Uruguay;3810,865;4224,261;3431,162;1871,395;1768,228;1716,873;2119,542;2637,021;2712,191;2842,578;3289,118;3940,854;4501,823;5213,029;6015,243;6601,537;6974,809;7295,989;7667,105;7193,466;6817,363;6238,214;4073,418;3614,627;4102,584;5189,889;5842,813;6984,815;9029,327;9372,485;11859,898;14054,33;14961,681;16723,447;16572,362;15365,956;15139,12;16941,557;17379,655;17874,708;18861,596;19891,773;20936,742;22047,495
Uzbekistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;167,182;252,628;292,767;448,141;601,938;616,087;616,92;693,233;560,171;468,77;384,496;398,579;466,855;549,953;658,472;836,697;1090,87;1223,545;1392,324;1577,497;1753,465;1923,722;2069,76;2143,294;2124,128;1520,097;1326,002;1560,452;1660,007;1745,905;1835,374;1930,971
Vanuatu;1053,849;956,137;930,89;931,689;1111,403;976,747;918,675;989,126;1092,048;1054,904;1141,043;1333,385;1357,696;1277,011;1422,849;1479,565;1511,705;1537,62;1441,112;1435,664;1424,567;1320,599;1314,46;1538,104;1745,051;1845,775;2007,23;2350,978;2653,996;2606,785;2923,25;3230,035;3115,769;3123,977;3103,891;2880,948;2904,821;3093,995;3327,748;3480,419;3620,61;3766,449;3918,162;4075,985
