"GDP per capita, current prices
 (U.S. dollars per capita)";1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Chad;167,345;193,153;182,076;177,734;186,265;196,954;236,6;261,657;298,418;274,973;323,311;312,824;318,428;271,777;215,007;248,074;269,041;252,174;277,79;238,555;210,22;252,489;286,299;360,039;566,763;738,191;803,767;913,804;1067,748;931,257;1044,941;1161,41;1154,887;1180,002;1239,03;946,401;851,193;810,158;889,647;918,405;996,835;1054,668;1115,145;1155,464
Chile;2579,93;3004,742;2204,389;1762,224;1687,029;1424,37;1504,439;1743,889;2021,055;2289,459;2503,878;2829,749;3385,992;3559,35;4035,81;5112,853;5345,738;5738,455;5438,711;4941,329;5053,618;4557,69;4450,299;4776,074;6200,818;7608,622;9482,118;10516,22;10756,287;10222,426;12792,168;14610,262;15307,805;15788,093;14620,41;13548,617;13737,976;15067,724;16143,419;16277,42;17022,44;17763,734;18512,397;19296,961
China, People's Republic of;309,354;290,617;282,054;298,692;303,408;295,336;282,158;302,199;371,015;409,094;348,651;358,826;423,032;525,708;472,65;608,375;708,58;780,854;827,641;872,226;958,566;1053,129;1150,227;1293,124;1512,635;1765,732;2110,563;2703,003;3467,03;3837,903;4524,055;5582,887;6329,464;7080,828;7701,691;8166,756;8115,828;8643,107;9633,099;10098,538;10971,463;11853,18;12773,634;13780,025
Colombia;1629,099;1736,152;1819,306;1769,966;1711,856;1572,193;1542,359;1572,577;1660,552;1640,393;1637,503;1658,071;1923,575;2139,177;2640,385;2939,102;3037,632;3291,581;2992,93;2588,918;2455,11;2383,312;2347,506;2240,207;2737,578;3384,606;3717,547;4684,022;5444,823;5170,526;6285,198;7264,12;7950,369;8103,474;7998,833;6088,678;5800,253;6379,606;6761,223;7049,35;7217,207;7441,402;7728,907;8076,084
Comoros;429,869;367,044;340,104;322,463;307,777;303,118;398,188;466,449;477,398;442,712;541,682;581,286;615,15;596,546;390,844;477,158;464,134;418,543;416,315;421,218;374,641;399,109;446,955;564,642;615,437;641,618;651,581;732,773;816,981;802,234;793,273;866,916;823,779;884,68;899,414;750,584;762,738;787,897;877,193;853,984;887,423;916,74;951,577;984,403
Congo, Dem. Rep. of the;2389,497;2013,735;2119,585;1654,969;1069,067;945,84;1027,324;941,553;1056,053;1040,305;1043,394;980,857;857,123;1083,618;569,18;535,473;669,972;589,051;422,612;376,174;363,867;151,345;156,764;156,295;175,255;196,635;228,375;253,789;288,033;267,744;292,955;338,627;368,785;424,418;452,93;470,151;467,414;478,218;478,321;501,647;514,699;515,038;518,463;524,871
Congo, Republic of ;1311,065;1042,618;881,785;777,733;693,686;690,061;915,602;1079,073;1113,618;1107,124;1260,674;1191,066;1250,849;1116,788;718,177;837,921;981,466;875,412;716,86;845,576;1126,961;954,134;1006,064;1138,187;1475,48;1886,102;2335,388;2192,48;2936,932;2624,081;3364,131;3950,862;3555,944;3561,155;3492,5;2067,086;1835,828;2005,336;2571,672;2645,692;2473,477;2233,83;2138,974;2043,24
Costa Rica;2100,757;1107,138;1067,872;1252,589;1415,777;1472,762;1605,215;1606,451;1591,981;1756,797;1873,621;2318,477;2688,046;2927,069;3105,446;3327,394;3265,484;3437,063;3638,579;3703,133;3927,591;4029,576;4108,169;4213,892;4470,856;4743,154;5295,906;6187,386;7003,463;6897,244;8264,202;9260,859;10054,526;10632,948;10679,134;11422,598;11779,244;11728,613;12095,044;12566,797;13133,936;13731,292;14378,564;15066,975
Croatia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2589,343;2804,481;3834,654;5027,779;5251,656;5243,58;5631,165;5132,691;4970,211;5409,891;6241,222;8051,027;9354,099;10208,612;11348,389;13550,444;15892,036;14159,41;13550,438;14579,303;13249,445;13664,967;13610,802;11779,008;12370,61;13271,376;14637,462;15137,43;16069,31;16935,414;18096,383;18831,45
Cyprus;4549,59;4352,502;4452,666;4399,223;4575,652;4824,674;6057,903;7188,216;8204,3;8635,765;10359,998;10413,726;12158,597;11342,407;12525,318;15396,919;15260,362;14323,919;15181,803;15379,519;14464,816;14904,894;16188,667;20389,019;23969,818;25527,08;27449,083;31774,607;36030,355;32635,917;31261,236;32692,698;29066,268;27825,87;27267,428;23243,215;23766,305;25380,484;27864,523;28888,118;30948,646;32657,706;34532,326;36292,153
Czech Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;5784,097;6490,091;5993,003;6453,428;6304,157;5997,685;6599,308;8028,361;9777,814;11687,92;13362,343;15206,395;18434,536;22819,462;19787,766;19831,401;21736,836;19739,899;19912,51;19768,84;17728,702;18485,235;20401,577;23085,19;24938,485;26915,696;28804,896;30518,555;32190,432
Côte d'Ivoire;1256,063;1017,796;879,167;754,947;732,212;719,026;926,032;980,695;981,953;903,102;960,018;897,075;917,389;826,888;604,249;776,945;833,759;784,715;822,892;787,07;664,259;676,153;726,988;878,415;925,951;931,407;945,846;1053,562;1222,774;1194,375;1193,214;1199,676;1220,329;1388,016;1528,191;1397,297;1494,7;1621,403;1791,372;1879,954;2019,22;2153,22;2297,205;2427,388
